dataHora,ordem,linha,latitude,longitude,velocidade
04-27-2015 17:10:49,A29148,472,"-22.90897","-43.175171",0
04-27-2015 17:11:35,B58180,625,"-22.842","-43.2756",0
04-27-2015 17:12:22,B44572,638,"-22.8769","-43.3368",0
04-27-2015 17:12:24,A29086,476,"-22.902","-43.275089",0
04-27-2015 17:14:11,A48104,539,"-22.988495","-43.248959",0.19
04-27-2015 17:14:41,B75650,,"-22.8294","-43.3241",15
04-27-2015 17:15:02,B71029,239,"-22.9034","-43.3135",0
04-27-2015 17:15:53,C20035,601,"-22.92544","-43.286301",42
04-27-2015 17:16:44,C20157,380,"-22.9391","-43.38398",28
04-27-2015 17:17:34,A41311,181,"-22.875151","-43.242611",0
04-27-2015 17:17:41,A41009,178,"-22.902889","-43.19268",0
04-27-2015 17:17:45,A41112,181,"-22.901791","-43.208191",7
04-27-2015 17:17:49,A41341,181,"-23.000521","-43.348598",0
04-27-2015 17:17:50,A41321,181,"-22.96191","-43.357349",65
04-27-2015 17:17:53,A41453,178,"-22.904341","-43.208069",41
04-27-2015 17:17:57,A41015,178,"-22.90559","-43.191509",40
04-27-2015 17:18:47,C20111,600,"-22.956141","-43.358311",30
04-27-2015 17:19:13,A29116,461,"-22.971741","-43.20779",15
04-27-2015 17:19:17,A29102,210,"-22.887171","-43.230461",0
04-27-2015 17:22:05,A41329,132,"-22.986601","-43.218197",33.52
04-27-2015 17:23:38,A29003,474,"-22.90044","-43.232899",19
04-27-2015 17:24:31,C20075,600,"-22.92275","-43.295818",40
04-27-2015 17:24:38,A48114,201,"-22.906942","-43.181293",0.19
04-27-2015 17:25:07,B63084,334,"-22.872","-43.2488",41
04-27-2015 17:25:08,D58635,395,"-22.863001","-43.441277",70.38
04-27-2015 17:25:49,B58130,625,"-22.8373","-43.2864",0
04-27-2015 17:28:46,A55148,425,"-22.906361","-43.260422",0
04-27-2015 17:28:46,B63027,919,"-22.8706","-43.2456",2
04-27-2015 17:29:13,A48069,626,"-22.925467","-43.244427",2.04
04-27-2015 17:29:32,A48111,202,"-22.90255","-43.181938",0.37
04-27-2015 17:29:43,B58155,313,"-22.8933","-43.2395",1
04-27-2015 17:30:03,C42552,667,"-22.8979","-43.283741",6
04-27-2015 17:30:11,C20059,600,"-22.92231","-43.30521",38
04-27-2015 17:31:39,C20080,600,"-22.91386","-43.236931",11
04-27-2015 17:34:15,A48152,426,"-22.942768","-43.18293",5.19
04-27-2015 17:34:27,D87478,898,"-22.891689","-43.593941",0
04-27-2015 17:34:41,C20073,390,"-22.90988","-43.206581",5
04-27-2015 17:34:49,C47620,,"-22.953091","-43.348995",0
04-27-2015 17:36:36,A71590,125,"-22.983318","-43.192749",0.56
04-27-2015 17:36:43,A71580,409,"-22.952019","-43.185539",0
04-27-2015 17:37:54,A48007,202,"-22.902988","-43.18734",0.19
04-27-2015 17:38:06,A41322,,"-22.877649","-43.24157",7
04-27-2015 17:38:24,C13182,,"-22.857086","-43.541573",0
04-27-2015 17:39:24,A48120,413,"-22.904957","-43.189926",46.11
04-27-2015 17:39:59,D87170,771,"-22.89974","-43.554661",0
04-27-2015 17:40:09,A71538,,"-22.930733","-43.254372",0.93
04-27-2015 17:40:27,A50212,608,"-22.926458","-43.235291",23.71
04-27-2015 17:40:32,A48018,202,"-22.902597","-43.191006",0.56
04-27-2015 17:42:25,A71535,409,"-22.964655","-43.217861",2.41
04-27-2015 17:42:33,A55048,434,"-22.91153","-43.190491",0
04-27-2015 17:43:19,A29054,476,"-22.898581","-43.26366",0
04-27-2015 17:43:19,A48119,411,"-22.906534","-43.195702",46.67
04-27-2015 17:43:27,A41837,2017,"-22.870438","-43.249603",2.04
04-27-2015 17:43:58,A41045,129,"-22.902763","-43.20816",26.67
04-27-2015 17:44:06,A27630,433,"-22.976299","-43.193901",6
04-27-2015 17:44:11,A27644,433,"-22.914961","-43.232861",0
04-27-2015 17:44:19,A27578,438,"-22.920389","-43.256279",0
04-27-2015 17:44:19,A41163,110,"-22.977913","-43.23325",1.48
04-27-2015 17:44:30,A48010,411,"-22.909029","-43.172047",1.3
04-27-2015 17:44:35,A29078,474,"-22.89896","-43.25658",34
04-27-2015 17:44:39,A29135,474,"-22.905809","-43.175991",0
04-27-2015 17:44:47,A37662,584,"-22.900841","-43.196339",4
04-27-2015 17:45:08,D87406,830,"-22.901991","-43.559521",0
04-27-2015 17:45:14,A29117,461,"-22.86808","-43.291248",0
04-27-2015 17:45:18,B44519,638,"-22.9238","-43.232",0
04-27-2015 17:45:29,A27601,433,"-22.914721","-43.207851",0
04-27-2015 17:45:47,A27528,,"-22.92045","-43.2565",0
04-27-2015 17:46:08,C12018,2333,"-22.902969","-43.18475",29
04-27-2015 17:46:23,A41355,132,"-22.937243","-43.172478",78.52
04-27-2015 17:47:35,B75540,,"-22.8313","-43.3238",0
04-27-2015 17:47:37,D86691,2338,"-23.000072","-43.243401",31.85
04-27-2015 17:48:14,A29101,210,"-22.899851","-43.201221",21
04-27-2015 17:48:49,A48108,413,"-22.984619","-43.217697",0.56
04-27-2015 17:49:00,A50195,226,"-22.907669","-43.198025",51.49
04-27-2015 17:49:13,D87360,841,"-22.918221","-43.60812",0
04-27-2015 17:49:17,A29088,476,"-22.900049","-43.22612",0
04-27-2015 17:49:39,A29079,535,"-22.98192","-43.192379",0
04-27-2015 17:50:25,A41327,128,"-22.964075","-43.178577",30.56
04-27-2015 17:51:52,A48085,202,"-22.90366","-43.17474",1.11
04-27-2015 17:52:12,B41802,2145,"-22.9083","-43.2093",12.22
04-27-2015 17:52:58,C20126,600,"-22.95787","-43.346432",1
04-27-2015 17:53:43,A29138,472,"-22.89856","-43.219379",0
04-27-2015 17:54:21,A48159,413,"-22.983801","-43.210732",0.37
04-27-2015 17:54:24,A41223,132,"-22.902477","-43.175694",1.67
04-27-2015 17:54:55,A48033,426,"-22.920822","-43.193645",47.6
04-27-2015 17:54:59,A48133,415,"-22.968891","-43.184139",1.85
04-27-2015 17:55:17,A41838,2017,"-22.96879","-43.185818",17.59
04-27-2015 17:55:31,A48136,413,"-22.901478","-43.180744",1.3
04-27-2015 17:55:40,A29013,474,"-22.980431","-43.218201",0
04-27-2015 17:56:25,A48030,413,"-22.910772","-43.270859",8.7
04-27-2015 17:56:31,C44571,,"-22.860571","-43.356579",0
04-27-2015 17:57:33,A48032,415,"-22.942944","-43.181835",8.7
04-27-2015 17:57:44,A41306,128,"-22.903755","-43.195663",0.19
04-27-2015 17:57:52,A29184,461,"-22.974051","-43.206001",51
04-27-2015 17:58:32,A27629,438,"-22.9207","-43.25629",0
04-27-2015 17:58:59,A29066,472,"-22.911619","-43.17926",0
04-27-2015 17:59:14,A29159,474,"-22.980709","-43.218102",0
04-27-2015 17:59:36,A27603,438,"-22.939011","-43.17094",37
04-27-2015 17:59:38,A50040,608,"-22.923296","-43.230576",0.19
04-27-2015 18:00:10,A27513,548,"-22.99967","-43.271801",67
04-27-2015 18:00:17,A29180,472,"-22.93173","-43.174381",5
04-27-2015 18:00:37,A27541,131,"-22.907841","-43.19405",8
04-27-2015 18:01:04,A71536,217,"-22.903215","-43.17828",0.37
04-27-2015 18:02:25,A48072,413,"-22.97007","-43.185558",25.56
04-27-2015 18:02:29,A41068,170,"-22.982468","-43.241322",28.89
04-27-2015 18:02:53,A48098,201,"-22.929298","-43.208454",29.82
04-27-2015 18:03:34,A41238,127,"-22.914356","-43.174007",66.67
04-27-2015 18:03:40,A71607,124,"-22.910238","-43.177536",12.96
04-27-2015 18:03:43,A48016,401,"-22.925303","-43.205799",0.19
04-27-2015 18:03:43,A50097,226,"-22.903337","-43.185555",0.56
04-27-2015 18:03:49,A41318,128,"-22.904055","-43.196686",8.15
04-27-2015 18:04:20,A41265,132,"-22.964828","-43.176079",35.37
04-27-2015 18:04:24,A37647,,"-22.901859","-43.196671",0
04-27-2015 18:05:39,A27575,439,"-22.97085","-43.223141",0
04-27-2015 18:05:59,A48110,415,"-22.946043","-43.256741",2.96
04-27-2015 18:06:20,A29051,,"-22.867861","-43.291531",0
04-27-2015 18:06:41,A41830,,"-22.89802","-43.177418",39.08
04-27-2015 18:06:50,C20258,900,"-22.93515","-43.372108",0
04-27-2015 18:06:54,A71530,409,"-22.913675","-43.180759",13.52
04-27-2015 18:07:01,A48153,426,"-22.979637","-43.218208",0.37
04-27-2015 18:07:02,A29030,461,"-22.978609","-43.199871",46
04-27-2015 18:07:46,A55049,425,"-22.95882","-43.191269",0
04-27-2015 18:08:07,A48083,201,"-22.932299","-43.208721",0
04-27-2015 18:08:16,A48059,539,"-22.975679","-43.225658",41.11
04-27-2015 18:08:55,A41359,128,"-22.967979","-43.188053",14.08
04-27-2015 18:09:57,A48080,415,"-22.913252","-43.209877",21.48
04-27-2015 18:10:14,A41168,111,"-22.897371","-43.196331",20.74
04-27-2015 18:10:16,A41438,127,"-22.960978","-43.175915",37.41
04-27-2015 18:10:33,B63020,334,"-22.8687","-43.2419",15
